Ship-to party,Shipment Route,Region Code,광역도시,시군구,담당 RDC 코드,담당 RDC 명
1784,KRDDA0,JAA,전라남도,순천시,11RC,계룡RDC
1788,KRDD90,JGA,전라남도,보성군,11RC,계룡RDC
1803,KRDC10,JTA,전라북도,군산시,11RC,계룡RDC
1808,KRDC10,JTA,전라북도,군산시,11RC,계룡RDC
1817,KRDC80,JRA,전라북도,익산시,11RC,계룡RDC
1828,KRDC10,JTA,전라북도,군산시,11RC,계룡RDC
1833,KRDC80,JRA,전라북도,익산시,11RC,계룡RDC
1834,KRDC10,JTA,전라북도,군산시,11RC,계룡RDC
1835,KRDC20,JVA,전라북도,김제시,11RC,계룡RDC
1836,KRDB80,DKA,충청남도,서천군,11RC,계룡RDC
188,KRD00O,AHA,서울특별시,중랑구,11R2,평택RDC
1883,KRDDI0,IVA,전라남도,진도군,11RC,계룡RDC
1884,KRDD00,ABD,전라남도,강진군,11RC,계룡RDC
1885,KRDD70,IQA,전라남도,목포시,11RC,계룡RDC
1892,KRDDH0,IPA,전라남도,장흥군,11RC,계룡RDC
1909,KRDA93,EHA,충청북도,청주시 흥덕구,11RC,계룡RDC
1911,KRDA91,EHA,충청북도,청주시 서원구,11RC,계룡RDC
1912,KRDA93,EHA,충청북도,청주시 흥덕구,11RC,계룡RDC
1915,KRDG10,NFA,제주특별자치도,제주시,11RB,제주RDC
1923,KRDA92,EHA,충청북도,청주시 청원구,11RC,계룡RDC
1927,KRDFC3,MHA,경상남도,창원시 의창구,11RD,칠곡RDC
1928,KRD600,NAA,울산광역시,남구,11RD,칠곡RDC
1944,KRD403,IAA,광주광역시,북구,11RC,계룡RDC
195,KRD8T0,GTA,경기도,하남시,11R2,평택RDC
200,KRD880,HBA,경기도,남양주시,11R2,평택RDC
207,KRD005,ASA,서울특별시,광진구,11R2,평택RDC
218,KRD001,AKA,서울특별시,강동구,11R2,평택RDC
222,KRD00J,ATA,서울특별시,영등포구,11R2,평택RDC
2276,KRD8P0,GUA,경기도,이천시,11R9,제천RDC
2290,KRD006,AVA,서울특별시,구로구,11R2,평택RDC
2302,KRDD70,IQA,전라남도,목포시,11RC,계룡RDC
2307,KRD103,LGA,부산광역시,남구,11RD,칠곡RDC
2463,KRD8T0,GTA,경기도,하남시,11R2,평택RDC
2464,KRDDE0,INB,전라남도,영암군,11RC,계룡RDC
2465,KRDG10,NFD,제주특별자치도,제주시,11RB,제주RDC
250,KRD007,AWA,서울특별시,금천구,11R2,평택RDC
2516,KRD8B0,ALA,경기도,성남시 분당구,11R2,평택RDC
254,KRD00J,ATA,서울특별시,영등포구,11R2,평택RDC
2550,KRDA00,EKA,충청북도,괴산군,11RC,계룡RDC
2556,KRDDD0,IFA,전라남도,영광군,11RC,계룡RDC
2577,KRD810,FJA,경기도,고양시 덕양구,11R2,평택RDC
258,KRD00J,ATA,서울특별시,영등포구,11R2,평택RDC
260,KRD8M2,GKA,경기도,용인시 처인구,11R2,평택RDC
2611,KRD503,DDA,대전광역시,유성구,11RC,계룡RDC
2622,KRDD90,JGA,전라남도,보성군,11RC,계룡RDC
264,KRD006,AVA,서울특별시,구로구,11R2,평택RDC
2663,KRD9D0,COA,강원도,태백시,11R9,제천RDC
2666,KRDAA0,EPA,충청북도,충주시,11R9,제천RDC
2681,KRDFA0,MNA,경상남도,진주시,11RD,칠곡RDC
2685,KRD8R0,GMA,경기도,평택시,11R2,평택RDC
270,KRD00H,AOA,서울특별시,송파구,11R2,평택RDC
2825,KRD8D0,GFA,경기도,수원시 장안구,11R2,평택RDC
2846,KRDF80,LSA,경상남도,양산시,11RD,칠곡RDC
2861,KRDB70,EEA,충청남도,서산시,11R2,평택RDC
2895,KRD9B0,CVA,강원도,철원군,11R2,평택RDC
2902,KRDA50,ELA,충청북도,음성군,11R9,제천RDC
2916,KRD403,IAA,광주광역시,북구,11RC,계룡RDC
2931,KRDEG0,C84,경상북도,울릉군,11RD,칠곡RDC
295,KRD000,ALA,서울특별시,강남구,11R2,평택RDC
296,KRD00H,AOA,서울특별시,송파구,11R2,평택RDC
2968,KRDC80,JRA,전라북도,익산시,11RC,계룡RDC
297,KRD00E,ANA,서울특별시,서초구,11R2,평택RDC
2977,KRDCB0,JMA,전라북도,전주시 덕진구,11RC,계룡RDC
3000128,KRD800,HEA,경기도,가평군,11R2,평택RDC
3000864,KRDAA0,EPA,충청북도,충주시,11R9,제천RDC
3001044,KRDG10,NFB,제주특별자치도,제주시,11RB,제주RDC
3001045,KRD100,LOA,부산광역시,강서구,11RD,칠곡RDC
3001047,KRD602,NDA,울산광역시,북구,11RD,칠곡RDC
3001049,KRDEM0,PNA,경상북도,포항시 남구,11RD,칠곡RDC
3001056,KRD203,OBA,대구광역시,동구,11RD,칠곡RDC
3001071,KRD9H0,CKA,강원도,횡성군,11R9,제천RDC
3001092,KRDA92,EIA,충청북도,청주시 청원구,11RC,계룡RDC
3001119,KRD00E,ANA,서울특별시,서초구,11R2,평택RDC
3001159,KRD8L0,GJA,경기도,오산시,11R2,평택RDC
3001198,KRD009,AIA,서울특별시,도봉구,11R2,평택RDC
3001383,KRDA93,EHA,충청북도,청주시 흥덕구,11RC,계룡RDC
3001408,KRD900,CCA,강원도,강릉시,11R9,제천RDC
3001417,KRDBE0,EAA,충청남도,홍성군,11RC,계룡RDC
3001421,KRDAA0,EPA,충청북도,충주시,11R9,제천RDC
3001440,KRDEA0,PDA,경상북도,안동시,11RD,칠곡RDC
3001551,KRDF80,LSA,경상남도,양산시,11RD,칠곡RDC
3001554,KRDD30,JFA,전라남도,광양시,11RC,계룡RDC
3001567,KRD8N0,GEA,경기도,의왕시,11R2,평택RDC
3001644,KRDEM0,PNA,경상북도,포항시 남구,11RD,칠곡RDC
3001848,KRD8B0,GRA,경기도,성남시 분당구,11R2,평택RDC
3002072,KRD8U0,GIA,경기도,화성시,11R2,평택RDC
3002088,KRD8C0,GFA,경기도,수원시 권선구,11R2,평택RDC
3002298,KRD8U0,GIA,경기도,화성시,11R2,평택RDC
3002448,KRDBB0,DLA,충청남도,천안시 동남구,11R2,평택RDC
3002496,KRDBB0,DLA,충청남도,천안시 동남구,11R2,평택RDC
3002742,KRDE30,OOA,경상북도,구미시,11RD,칠곡RDC
3002997,KRDEH0,PIA,경상북도,울진군,11RD,칠곡RDC
3003025,KRDB70,EEA,충청남도,서산시,11R2,평택RDC
3003154,KRDF70,MGA,경상남도,산청군,11RD,칠곡RDC
3003175,KRDF10,MTA,경상남도,거창군,11RD,칠곡RDC
3003271,KRDC70,JNA,전라북도,완주군,11RC,계룡RDC
3003413,KRDDC0,JJA,전라남도,여수시,11RC,계룡RDC
3003656,KRDD80,IRA,전라남도,무안군,11RC,계룡RDC
3003707,KRD102,LPA,부산광역시,기장군,11RD,칠곡RDC
3003736,KRD103,LGA,부산광역시,남구,11RD,칠곡RDC
3003787,KRD00E,ANA,서울특별시,서초구,11R2,평택RDC
3003942,KRD400,IEA,광주광역시,광산구,11RC,계룡RDC
3003965,KRD107,LMA,부산광역시,북구,11RD,칠곡RDC
3004030,KRD8R0,GMA,경기도,평택시,11R2,평택RDC
3004393,KRD9F0,CSA,강원도,홍천군,11R9,제천RDC
3004399,KRD00E,ANA,서울특별시,서초구,11R2,평택RDC
3004459,KRD500,DEA,대전광역시,대덕구,11RC,계룡RDC
3004654,KRD880,HBA,경기도,남양주시,11R2,평택RDC
3004865,KRD8D0,FVA,경기도,시흥시,11R2,평택RDC
3005001,KRD8U0,GIA,경기도,화성시,11R2,평택RDC
3005095,KRD10C,LIA,부산광역시,연제구,11RD,칠곡RDC
3005203,KRDF80,LSA,경상남도,양산시,11RD,칠곡RDC
3005806,KRD8S0,HKA,경기도,포천시,11R2,평택RDC
3006564,KRDF30,LQA,경상남도,김해시,11RD,칠곡RDC
3006608,KRDF80,LSA,경상남도,양산시,11RD,칠곡RDC
3006767,KRDF00,MLA,경상남도,거제시,11RD,칠곡RDC
3006874,KRDF50,LTA,경상남도,밀양시,11RD,칠곡RDC
3006922,KRDFA0,MNA,경상남도,진주시,11RD,칠곡RDC
3007082,KRDA60,ERA,충청북도,제천시,11R9,제천RDC
3007481,KRDFD0,MJA,경상남도,통영시,11RD,칠곡RDC
3007631,KRDA60,ERA,충청북도,제천시,11R9,제천RDC
3007846,KRDDK0,ITA,전라남도,해남군,11RC,계룡RDC
3007852,KRDF50,LTA,경상남도,밀양시,11RD,칠곡RDC
3007960,KRDB50,EDA,충청남도,보령시,11RC,계룡RDC
3007984,KRDD50,ILA,전라남도,나주시,11RC,계룡RDC
3007987,KRDF60,MPA,경상남도,사천시,11RD,칠곡RDC
3008192,KRDEM0,PNA,경상북도,포항시 남구,11RD,칠곡RDC
3008231,KRDDD0,IFA,전라남도,영광군,11RC,계룡RDC
3008450,KRDF40,MSA,경상남도,남해군,11RD,칠곡RDC
3008625,KRDFF0,MFA,경상남도,함안군,11RD,칠곡RDC
3008699,KRDA92,ELA,충청북도,청주시 청원구,11RC,계룡RDC
3009401,KRDF30,LQA,경상남도,김해시,11RD,칠곡RDC
3009460,KRDG10,NFA,제주특별자치도,제주시,11RB,제주RDC
3009605,KRD8F0,GNA,경기도,안성시,11R2,평택RDC
3009877,KRD00A,AGA,서울특별시,동대문구,11R2,평택RDC
3010013,KRDDE0,INB,전라남도,영암군,11RC,계룡RDC
3010114,KRDDK0,ITA,전라남도,해남군,11RC,계룡RDC
3010286,KRD200,OFA,대구광역시,남구,11RD,칠곡RDC
3010397,KRDFA0,MNA,경상남도,진주시,11RD,칠곡RDC
3010406,KRDFA0,MNA,경상남도,진주시,11RD,칠곡RDC
3010488,KRDE10,PLA,경상북도,경주시,11RD,칠곡RDC
3010517,KRDFA0,MNA,경상남도,진주시,11RD,칠곡RDC
3010879,KRD8B0,GRA,경기도,성남시 분당구,11R2,평택RDC
3010901,KRDF50,LTA,경상남도,밀양시,11RD,칠곡RDC
3010957,KRDFF0,MFA,경상남도,함안군,11RD,칠곡RDC
3011205,KRD8M2,GKA,경기도,용인시 처인구,11R2,평택RDC
3011331,KRD8M2,GKA,경기도,용인시 처인구,11R2,평택RDC
3011398,KRDDI0,IVA,전라남도,진도군,11RC,계룡RDC
3011413,KRD00H,AOA,서울특별시,송파구,11R2,평택RDC
3011556,KRDDA0,JAA,전라남도,순천시,11RC,계룡RDC
3012029,KRDDI0,IVA,전라남도,진도군,11RC,계룡RDC
3012153,KRD309,FAA,인천광역시,중구,11R2,평택RDC
3012448,KRDEL0,OMA,경상북도,칠곡군,11RD,칠곡RDC
3012572,KRDF50,LTA,경상남도,밀양시,11RD,칠곡RDC
3012696,KRDBB0,DLA,충청남도,천안시 동남구,11R2,평택RDC
3013011,KRD8M1,GKA,경기도,용인시 수지구,11R2,평택RDC
3013070,KRDF80,LSA,경상남도,양산시,11RD,칠곡RDC
3013100,KRDF80,LSA,경상남도,양산시,11RD,칠곡RDC
3013181,KRD103,LGA,부산광역시,남구,11RD,칠곡RDC
3013211,KRD811,FJA,경기도,고양시 일산동구,11R2,평택RDC
3013386,KRDFA0,MNA,경상남도,진주시,11RD,칠곡RDC
3013394,KRDBB1,DLA,충청남도,천안시 서북구,11R2,평택RDC
